loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
square,l2,0.01,0.5,0.01,29.58153552159679,0.03136739220766475,0.013107678602323146,0.0,0.3920508051571541,0.0005086216691043926
square,l2,0.01,0.5,0.07102040816326531,27.06904273146172,0.19073619166232986,0.07851989279242018,0.0,0.2480368642022664,0.0004654490744447064
square,l2,0.01,0.5,0.1320408163265306,24.635188686070236,0.3102108469968031,0.1268549761957217,0.0,0.19188525088325453,0.0004585347504711408
square,l2,0.01,0.5,0.19306122448979593,22.292216812888583,0.40323951101777566,0.1647107426619134,0.0,0.16021409598816905,0.0004800069622073026
square,l2,0.01,0.5,0.2540816326530612,20.053134112927285,0.47774770186482884,0.1956930616454253,0.0,0.14007821215390492,0.0005284342386248329
square,l2,0.01,0.5,0.31510204081632653,17.931051315324964,0.5386811512187976,0.22195539387665827,0.0,0.12643587202148726,0.0006065695178700764
square,l2,0.01,0.5,0.37612244897959185,15.93827299922314,0.5892647357574017,0.24490090065199252,0.0,0.11687874055198444,0.000720803445450124
square,l2,0.01,0.5,0.43714285714285717,14.085261053256861,0.6316797785341314,0.26551893589004305,0.0,0.11012124596487666,0.0008814592386719696
square,l2,0.01,0.5,0.4981632653061225,12.379697465963098,0.6674542874857178,0.2845315024921424,0.0,0.10541520018455108,0.0011035814726244847
square,l2,0.01,0.5,0.5591836734693878,10.825901794595508,0.6976996691971877,0.302424943100703,0.0,0.10227363818202134,0.0014079547118836478
square,l2,0.01,0.5,0.6202040816326531,9.424758818288947,0.723258484463054,0.31941312894605794,0.0,0.10032067467215894,0.0018219315486393468
square,l2,0.01,0.5,0.6812244897959184,8.174107437751147,0.7447973019438778,0.33537726373697635,0.0,0.09920586570090212,0.0023793100620417705
square,l2,0.01,0.5,0.7422448979591837,7.069345567346743,0.7628650731431852,0.349835233662805,0.0,0.09856336204695537,0.0031181166881689426
square,l2,0.01,0.5,0.8032653061224491,6.103944056495921,0.7779304987957365,0.36199734677983664,0.0,0.098010894530276,0.004075140071560618
square,l2,0.01,0.5,0.8642857142857143,5.269684848101847,0.790406795583392,0.3709463827077607,0.0,0.09718454409764982,0.005277115188224054
square,l2,0.01,0.5,0.9253061224489797,4.556678768001684,0.800667842521844,0.37591898516702094,0.0,0.09579566902637393,0.006730845229566217
square,l2,0.01,0.5,0.986326530612245,3.9534190323901446,0.8090567432064737,0.3765806194341346,0.0,0.09368346597629235,0.008416895270729774
square,l2,0.01,0.5,1.0473469387755103,3.4471299930588852,0.8158874481259346,0.3731532172215704,0.0,0.09083487264217671,0.010291029118318125
square,l2,0.01,0.5,1.1083673469387756,3.024463267228955,0.8214416723676501,0.3663321889772335,0.0,0.08736114853337296,0.012293398878401708
square,l2,0.01,0.5,1.1693877551020408,2.6723520136053023,0.8259647130284683,0.35706046585325585,0.0,0.08344551682987611,0.014360962628012997
square,l2,0.01,0.5,1.230408163265306,2.3787537630917486,0.8296632716023158,0.3462908996447508,0.0,0.07928795479462108,0.016437730251292217
square,l2,0.01,0.5,1.2914285714285716,2.133111471481096,0.8327064918996487,0.3348291448708546,0.0,0.07506609451847834,0.018480131463443634
square,l2,0.01,0.5,1.3524489795918369,1.9265148216516392,0.8352296776964396,0.32327380839614117,0.0,0.07091691669563725,0.020457908665248898
