test_error,train_loss,test_error_std,train_loss_std,lambda,probability,sample_complexity,samples,rho,penalty,q,q_std,m,m_std,b,b_std
0.28090000000000004,0.026145094525645486,0.03914192126097031,0.017996755203668852,0.1,0.5,0.1,100,0.8,l2,0.1264838666268675,0.01295481909859267,0.22117814302012456,0.01894778669699741,0.025688203612129208,0.16242184252439415
0.175,0.09168617754438262,0.024062418831031933,0.036266494681981815,0.1,0.5,0.42222222222222217,422,0.8,l2,0.4212927442211707,0.024703023305728232,0.6422108095391065,0.03823787024837876,-0.07203714616888043,0.1862720021462033
0.1424,0.15077362883201886,0.015213152204589284,0.015335049287366473,0.1,0.5,0.7444444444444444,744,0.8,l2,0.6432229559368385,0.031449876490923304,0.8654590375495465,0.018293098420012782,0.010340585497190724,0.17492596160434384
0.127,0.2562965864419403,0.012288205727444502,0.05222142521585672,0.1,0.5,1.0666666666666667,1066,0.8,l2,0.7943685328795882,0.04997670331747083,1.051869315906552,0.024901986467426793,0.07463540540331627,0.19949776900264501
0.10740000000000001,0.3674989371631055,0.01492782636554967,0.06532412626319854,0.1,0.5,1.3888888888888888,1388,0.8,l2,0.9102280327470196,0.05760146872681395,1.2188526244912343,0.04022418881319372,-0.036165574528334174,0.2395915230037702
0.095,0.4450746490358399,0.009252026804976303,0.05094482744182606,0.1,0.5,1.711111111111111,1711,0.8,l2,1.0174518323988202,0.03968898625727583,1.3385647046889404,0.060924965742980675,0.04356025162561855,0.1347902182840659
0.08929999999999999,0.5323174074980617,0.008843641783790206,0.034949744851283826,0.1,0.5,2.033333333333333,2033,0.8,l2,1.0952239495384617,0.03644417386153746,1.4284407299099064,0.03138348029519838,-0.016846138690407443,0.15819887086019757
0.0769,0.5985104190374985,0.00847879708449259,0.05848081220410866,0.1,0.5,2.3555555555555556,2355,0.8,l2,1.1467013620274873,0.05903483718248831,1.5138282589555496,0.04402749876732307,-0.056153216348059073,0.14120014224921093
0.07809999999999999,0.6896862820347403,0.013389921583041477,0.042094114504376355,0.1,0.5,2.6777777777777776,2677,0.8,l2,1.208391630669059,0.06194353336606543,1.5883442000039305,0.04650074431501818,0.01896063323612056,0.1293650522964601
0.07749999999999999,0.782327186824763,0.0127455874717488,0.054149758437531205,0.1,0.5,3.0,3000,0.8,l2,1.287273197682365,0.07388018349352946,1.6601091786135975,0.03394432643667835,0.008174851936421021,0.17686102010406848
