test_error,train_loss,test_error_std,train_loss_std,lambda,probability,sample_complexity,samples,rho,penalty,q,q_std,m,m_std,b,b_std
0.23089999999999997,0.00045260433770438595,0.0326449077192753,5.662736618212719e-05,0.01,0.5,0.1,50,0.5,l2,0.10193106854252651,0.004152621344133089,0.246654768670237,0.021689784619522045,0.013153324012510782,0.12333306877851319
0.1034,0.000811721181279796,0.019319420281157507,0.00011298473543852073,0.01,0.5,0.42222222222222217,211,0.5,l2,0.2555539667816793,0.01155366197487388,0.6302270431906393,0.027222564163036603,0.01780530825631213,0.04645106802976028
0.09659999999999999,0.002873446666669545,0.018682612237050793,0.000510273104264122,0.01,0.5,0.7444444444444444,372,0.5,l2,0.3420602213859839,0.03175556562522581,0.7611913382913076,0.02007062089155913,0.015489391669835548,0.03282332025603301
0.08909999999999998,0.011582496495371995,0.01514892735476674,0.0018174392152706378,0.01,0.5,1.0666666666666667,533,0.5,l2,0.3913737398084954,0.03759158367934319,0.82210655923647,0.027775488499701042,-0.005097145958161411,0.0273667612347274
0.06109999999999999,0.022043165932735292,0.010014489502715553,0.0015096682668469,0.01,0.5,1.3888888888888888,694,0.5,l2,0.31295648767997075,0.016806561840979634,0.8441731487203225,0.017929944022915832,0.004789569603810784,0.024405767257061173
0.053799999999999994,0.030873389762966764,0.01044796630928718,0.0036474400139354006,0.01,0.5,1.711111111111111,855,0.5,l2,0.27258201731962617,0.02387113433721521,0.8441138738405222,0.020662177477841086,-0.010378532849554787,0.013174994776600384
0.0369,0.03527979180038627,0.009523129737644027,0.0030266813328595744,0.01,0.5,2.033333333333333,1016,0.5,l2,0.22914842024039977,0.020290041019119378,0.8543623203783669,0.014643325881891846,0.008177810296234444,0.018547862833474704
0.031,0.041159045695039156,0.008306623862918073,0.0026117348254511108,0.01,0.5,2.3555555555555556,1177,0.5,l2,0.21181102989441344,0.011884195661177419,0.8494058710885122,0.010375879355836488,0.002903268381869801,0.013866537002089972
0.028300000000000002,0.045175067799785126,0.006450581369148055,0.0026824004138864574,0.01,0.5,2.6777777777777776,1338,0.5,l2,0.2010256674509502,0.013798620765592993,0.8449343777919616,0.019998814085625247,0.006129496423097668,0.011448478357439099
0.027100000000000003,0.04842068727405897,0.006862215385719105,0.0048086857164031365,0.01,0.5,3.0,1500,0.5,l2,0.18560870489990738,0.011206497830207498,0.845861601979861,0.019666329191679047,-0.0012204497688049012,0.011384201117397234
